IATA,State,Year,Month,Flights
BDL,CT,2020,December,3660
BDL,CT,2021,January,3390
BDL,CT,2021,February,3190
BDL,CT,2021,March,3930
BDL,CT,2021,April,2570
BDL,CT,2021,May,4450
BDL,CT,2021,June,4810
BDL,CT,2021,July,5690
BDL,CT,2021,August,6000
BDL,CT,2021,September,5810
BDL,CT,2021,October,6060
BDL,CT,2021,November,4800
BDL,CT,2021,December,5140
BDL,CT,2022,January,4840
BDL,CT,2022,February,5170
BDL,CT,2022,March,5500
BDL,CT,2022,April,5970
BDL,CT,2022,May,5800
BDL,CT,2022,June,5330
BDL,CT,2022,July,5560
BDL,CT,2022,August,5810
BDL,CT,2022,September,5570
BDL,CT,2022,October,6640
BDL,CT,2022,November,5410
BDL,CT,2022,December,5570
BDL,CT,2023,January,4770
BDL,CT,2023,February,4270
BDL,CT,2023,March,5390
BDL,CT,2023,April,5270
BDL,CT,2023,May,5160
BDL,CT,2023,June,5260
BDL,CT,2023,July,5170
BDL,CT,2023,August,5180
BDL,CT,2024,September,5040
BDL,CT,2025,October,5160
EWR,NJ,2020,December,16900
EWR,NJ,2021,January,14400
EWR,NJ,2021,February,13300
EWR,NJ,2021,March,14400
EWR,NJ,2021,April,7280
EWR,NJ,2021,May,18000
EWR,NJ,2021,June,20800
EWR,NJ,2021,July,28700
EWR,NJ,2021,August,29400
EWR,NJ,2021,September,28800
EWR,NJ,2021,October,33300
EWR,NJ,2021,November,33400
EWR,NJ,2021,December,35900
EWR,NJ,2022,January,32800
EWR,NJ,2022,February,33100
EWR,NJ,2022,March,35300
EWR,NJ,2022,April,39600
EWR,NJ,2022,May,42500
EWR,NJ,2022,June,42700
EWR,NJ,2022,July,39000
EWR,NJ,2022,August,39400
EWR,NJ,2022,September,35400
EWR,NJ,2022,October,44900
EWR,NJ,2022,November,35300
EWR,NJ,2022,December,35400
EWR,NJ,2023,January,34700
EWR,NJ,2023,February,30600
EWR,NJ,2023,March,36900
EWR,NJ,2023,April,29200
EWR,NJ,2023,May,34500
EWR,NJ,2023,June,36400
EWR,NJ,2023,July,37000
EWR,NJ,2023,August,36400
EWR,NJ,2023,September,35300
EWR,NJ,2023,October,36200
JFK,NY,2020,December,16400
JFK,NY,2021,January,14800
JFK,NY,2021,February,13500
JFK,NY,2021,March,14900
JFK,NY,2021,April,7560
JFK,NY,2021,May,20900
JFK,NY,2021,June,23500
JFK,NY,2021,July,32900
JFK,NY,2021,August,33700
JFK,NY,2021,September,32500
JFK,NY,2021,October,32900
JFK,NY,2021,November,32400
JFK,NY,2021,December,34900
JFK,NY,2022,January,36200
JFK,NY,2022,February,36800
JFK,NY,2022,March,38700
JFK,NY,2022,April,41500
JFK,NY,2022,May,43600
JFK,NY,2022,June,44200
JFK,NY,2022,July,45300
JFK,NY,2022,August,44500
JFK,NY,2022,September,42000
JFK,NY,2022,October,66400
JFK,NY,2022,November,40800
JFK,NY,2022,December,38100
JFK,NY,2023,January,37100
JFK,NY,2023,February,34100
JFK,NY,2023,March,40500
JFK,NY,2023,April,32400
JFK,NY,2023,May,39500
JFK,NY,2023,June,40300
JFK,NY,2023,July,42200
JFK,NY,2023,August,42000
JFK,NY,2023,September,39600
JFK,NY,2023,October,39800
BOS,MA,2021,January,12400
BOS,MA,2021,February,11500
BOS,MA,2021,March,13000
BOS,MA,2021,April,6950
BOS,MA,2021,May,17000
BOS,MA,2021,June,20600
BOS,MA,2021,July,29000
BOS,MA,2021,August,30400
BOS,MA,2021,September,30400
BOS,MA,2021,October,31600
BOS,MA,2021,November,26200
BOS,MA,2021,December,27100
BOS,MA,2022,January,26500
BOS,MA,2022,February,27200
BOS,MA,2022,March,29400
BOS,MA,2022,April,34400
BOS,MA,2022,May,36700
BOS,MA,2022,June,37900
BOS,MA,2022,July,39800
BOS,MA,2022,August,40000
BOS,MA,2022,September,38000
BOS,MA,2022,October,51300
BOS,MA,2022,November,33100
BOS,MA,2022,December,30500
BOS,MA,2023,January,28800
BOS,MA,2023,February,26800
BOS,MA,2023,March,33700
BOS,MA,2023,April,26600
BOS,MA,2023,May,34200
BOS,MA,2023,June,35300
BOS,MA,2023,July,36800
BOS,MA,2023,August,37100
BOS,MA,2023,September,35600
BOS,MA,2023,October,35900
BWI,MD,2020,January,17600
BWI,MD,2020,February,17000
BWI,MD,2020,March,18600
BWI,MD,2020,April,14600
BWI,MD,2020,May,8220
BWI,MD,2020,June,10100
BWI,MD,2020,July,14500
BWI,MD,2020,August,16100
BWI,MD,2020,September,13400
BWI,MD,2020,October,13200
BWI,MD,2020,November,13400
BWI,MD,2020,December,12800
BWI,MD,2021,January,11900
BWI,MD,2021,February,10500
BWI,MD,2021,March,12800
BWI,MD,2021,April,6680
BWI,MD,2021,May,14600
BWI,MD,2021,June,15100
BWI,MD,2021,July,20800
BWI,MD,2021,August,22600
BWI,MD,2021,September,23300
BWI,MD,2021,October,23300
BWI,MD,2021,November,15900
BWI,MD,2021,December,16500
BWI,MD,2022,January,15700
BWI,MD,2022,February,16000
BWI,MD,2022,March,17000
BWI,MD,2022,April,20100
BWI,MD,2022,May,21300
BWI,MD,2022,June,21100
BWI,MD,2022,July,22800
BWI,MD,2022,August,22100
BWI,MD,2022,September,20900
BWI,MD,2022,October,21100
BWI,MD,2022,November,17300
BWI,MD,2022,December,18100
BWI,MD,2023,January,16800
BWI,MD,2023,February,14000
BWI,MD,2023,March,17900
BWI,MD,2023,April,15800
BWI,MD,2023,May,18900
BWI,MD,2023,June,18900
BWI,MD,2023,July,19800
BWI,MD,2023,August,19600
BWI,MD,2023,September,18500
BWI,MD,2023,October,20200
PIT,PA,2020,December,5470
PIT,PA,2021,January,5410
PIT,PA,2021,February,5020
PIT,PA,2021,March,5990
PIT,PA,2021,April,3690
PIT,PA,2021,May,7080
PIT,PA,2021,June,8070
PIT,PA,2021,July,9510
PIT,PA,2021,August,10000
PIT,PA,2021,September,9970
PIT,PA,2021,October,11100
PIT,PA,2021,November,9150
PIT,PA,2021,December,9330
PIT,PA,2022,January,8750
PIT,PA,2022,February,8750
PIT,PA,2022,March,9270
PIT,PA,2022,April,10200
PIT,PA,2022,May,10700
PIT,PA,2022,June,10400
PIT,PA,2022,July,10700
PIT,PA,2022,August,10100
PIT,PA,2022,September,9460
PIT,PA,2022,October,11400
PIT,PA,2022,November,8440
PIT,PA,2022,December,8810
PIT,PA,2023,January,8400
PIT,PA,2023,February,7260
PIT,PA,2023,March,9250
PIT,PA,2023,April,9180
PIT,PA,2023,May,9470
PIT,PA,2023,June,9910
PIT,PA,2023,July,10200
PIT,PA,2023,August,10000
PIT,PA,2023,September,9710
PIT,PA,2023,October,10000
ALB,NY,2020,December,2390
ALB,NY,2021,January,2100
ALB,NY,2021,February,1950
ALB,NY,2021,March,2240
ALB,NY,2021,April,1630
ALB,NY,2021,May,2420
ALB,NY,2021,June,2730
ALB,NY,2021,July,3280
ALB,NY,2021,August,3410
ALB,NY,2021,September,3300
ALB,NY,2021,October,3620
ALB,NY,2021,November,2950
ALB,NY,2021,December,3090
ALB,NY,2022,January,2830
ALB,NY,2022,February,3070
ALB,NY,2022,March,3300
ALB,NY,2022,April,3620
ALB,NY,2022,May,3770
ALB,NY,2022,June,3850
ALB,NY,2022,July,4010
ALB,NY,2022,August,3880
ALB,NY,2022,September,3450
ALB,NY,2022,October,3680
ALB,NY,2022,November,3120
ALB,NY,2022,December,3240
